#source_id,id2,RA,Dec,gl,gb,amplitude,beyond1std,fpr_mid20,fpr_mid35,fpr_mid50,fpr_mid65,fpr_mid80,linear_trend,max_slope,med_abs_dev,med_buf_range_per,pair_slope_trend,percent_amplitude,pdfp,skew,kurtosis,std,magratio,data_num,npeaks,peakstats,class
CSS071108:030945+295251,1129015042884,47.438315,29.880788,179.966077,-23.568955,2.560000,0.225490,0.149664,0.289100,0.700265,0.865860,0.936177,-0.001164,171.073095,0.260000,0.745098,0.400000,0.984934,1.379409,1.174899,-0.395473,1.512993,0.500000,306,0,0.000,0
CSS071112:024457+352249,6012213501311032988,41.239291,35.380553,187.866217,-21.512745,1.221016,0.333333,0.105355,0.271527,0.438245,0.599609,0.916029,0.000336,72.353349,0.374299,1.000000,0.529412,0.819420,1.479632,1.023488,0.083616,0.680993,0.500000,18,0,0.000,0
CSS071112:085823-003729,5120100104811037790,134.595171,-0.624753,106.148755,28.031224,1.878562,0.130435,0.077322,0.203941,0.588555,0.643404,0.886273,0.000003,55.702641,0.199591,0.869565,0.409091,0.949115,1.369243,1.425266,0.807734,1.062428,0.478261,23,0,0.000,0
CSS071115:044216-002334,5102700102611041321,70.566770,-0.392723,138.476707,-27.998158,1.231619,0.285714,0.179818,0.268211,0.599322,0.668158,0.983994,-0.000201,29.568824,0.585788,1.000000,0.407407,1.246233,1.931750,0.630285,-0.572244,0.732951,0.500000,28,1,0.000,0
CSS071206:060031-105208,7120600903211011601,90.129114,-10.868934,118.681166,-15.655362,0.242655,0.400000,0.049581,0.086766,0.123951,0.452470,0.780988,-0.000536,15.421667,0.034367,1.000000,0.000000,0.407943,0.416313,-1.161945,-0.114912,0.166090,0.400000,5,0,0.000,0
CSS071214:090904+091714,5053110904911006068,137.268268,9.287025,114.739275,35.243473,1.225036,0.153846,0.060842,0.190844,0.455326,0.502708,0.895559,-0.000247,17.119901,0.282396,0.846154,0.666667,0.845035,1.310212,1.534900,0.971967,0.774822,0.461538,13,0,0.000,0
CSS071215:041456+215643,1121022058651,63.731993,21.945442,162.471190,-19.928403,3.620000,0.217391,0.065931,0.084937,0.138680,0.212958,0.423350,-0.000206,482.517482,0.575000,0.902174,0.500000,241.061835,8.008001,-1.885019,6.175923,1.132603,0.500000,92,4,0.244,0
CSS071231:082822+105344,5092910904511038097,127.090645,10.895635,121.583974,26.951268,0.795229,0.615385,0.101250,0.328475,0.889600,0.914420,0.961169,0.001087,49.007356,0.492269,1.000000,0.333333,1.277584,1.681031,-0.236017,-1.405647,0.568173,0.461538,13,2,0.000,0
CSS080101:232519-081819,1007124003360,351.329988,-8.305322,82.939202,-62.507082,3.680000,0.063745,0.063117,0.115090,0.178749,0.271899,0.460917,0.000279,535.714285,0.190000,0.952191,0.466667,245.603934,1.924564,-3.777913,15.151442,1.045062,0.490040,251,5,0.083,0
CSS080110:032627+070744,1107019026581,51.613598,7.129072,159.355192,-38.607550,2.320000,0.512821,0.328133,0.487605,0.687653,0.720591,0.816370,0.000310,145.953757,1.140000,0.615385,0.566667,1.992265,2.782914,0.248749,-1.620067,1.527969,0.487179,39,0,0.000,0
CSS080130:033056+251255,6121212301811050469,52.731867,25.215381,172.794981,-24.511836,1.729773,0.352941,0.247118,0.409043,0.507273,0.714536,0.882872,-0.001075,42.832626,0.953041,0.882353,0.437500,2.773723,3.609127,0.775993,0.010888,1.028807,0.470588,17,1,0.314,0
CSS080130:090951+184947,1118047043615,137.460588,18.829794,125.621484,39.274581,2.170000,0.100228,0.102763,0.176402,0.267730,0.379283,0.570969,0.000170,272.727273,0.180000,0.954442,0.400000,24.118864,1.255649,-3.431554,13.471586,0.693246,0.492027,439,7,0.250,0
CSS080130:105550+095621,1109058031152,163.958688,9.939046,95.221875,58.153388,2.410000,0.149533,0.071760,0.137975,0.208488,0.312919,0.427238,-0.000071,1458.333326,0.440000,0.953271,0.433333,32.113112,4.641781,-1.922054,4.745144,0.882323,0.498442,321,14,0.300,0
CSS080131:163943+122414,1112088038653,249.927877,12.403998,126.439859,34.226703,2.545000,0.389262,0.039068,0.194211,0.460686,0.636810,0.908281,-0.000023,575.862069,0.900000,0.684564,0.500000,22.334581,21.580036,-0.482991,-1.330816,1.656031,0.496644,149,16,0.356,0
CSS080201:115330+315836,1132055018815,178.375962,31.976674,147.145827,77.120284,2.130000,0.405405,0.050027,0.110541,0.628336,0.695688,0.969276,-0.000300,272.394881,0.845000,0.743243,0.400000,10.575497,10.100001,-0.503197,-1.145865,1.321002,0.500000,74,6,0.347,0
CSS080202:001637+185615,5102911800221025655,4.153661,18.937557,43.495193,-43.003221,0.641323,0.200000,0.164548,0.307894,0.439027,0.499106,0.747698,-0.000496,32.009847,0.168111,1.000000,0.571429,0.583397,0.747603,1.124912,0.706112,0.330071,0.466667,15,1,0.000,0
CSS080202:081415+080450,5040610704411052141,123.562073,8.080547,120.467073,22.591587,0.705303,0.166667,0.141293,0.262556,0.413061,0.473063,0.769238,-0.000060,65.341076,0.110100,1.000000,0.636364,0.679092,0.691083,1.761103,2.241116,0.386716,0.500000,12,0,0.000,0
CSS080207:052034-000530,1001029088897,80.140874,-0.091608,133.504491,-19.565427,1.915000,0.183486,0.030581,0.047716,0.067029,0.103839,0.663834,-0.000307,150.000000,0.260000,0.899083,0.533333,10.481536,7.961784,-1.634344,1.987843,0.824531,0.477064,109,6,0.173,0
CSS080207:060038-080945,1007032011921,90.156632,-8.162442,121.188312,-14.445316,2.495000,0.400000,0.028246,0.082212,0.251716,0.375903,0.544830,0.000137,153.256705,0.830000,0.720000,0.533333,23.888573,23.854820,-0.647701,-0.983955,1.498662,0.493333,75,5,0.357,0
CSS080208:103317+072119,1107056034350,158.321898,7.355240,97.414837,52.139659,3.370000,0.119149,0.016825,0.031363,0.047019,0.065765,0.110884,0.000043,3916.666647,0.370000,0.931915,0.533333,99.000000,14.353810,-2.634814,7.868555,1.129253,0.493617,235,6,0.225,0
CSS080209:084555+033929,1104047022585,131.479482,3.658108,112.105732,27.516744,2.840000,0.097561,0.003675,0.010945,0.017529,0.057986,0.066343,0.001336,211.382114,0.620000,0.902439,0.600000,72.113908,72.038087,-1.719861,2.116144,1.572654,0.487805,41,2,0.002,0
CSS080209:090628+052657,1104049066444,136.617630,5.449263,111.023980,32.861564,2.025000,0.394366,0.059641,0.233344,0.566037,0.791587,0.890281,0.000159,141.025642,0.660000,0.738028,0.533333,11.705741,10.039035,-0.524275,-1.337200,1.232522,0.495775,355,38,0.289,0
CSS080211:024602+345508,1135013033230,41.509785,34.918949,187.424581,-21.818582,2.650000,0.173410,0.015870,0.023739,0.034773,0.045774,0.830162,0.000182,129.629630,0.450000,0.861272,0.566667,32.113112,24.302074,-1.552947,1.262273,1.340698,0.491329,173,9,0.315,0
CSS080227:112634-100210,1009061025377,171.641538,-10.036109,63.910350,47.568834,2.525000,0.154589,0.192308,0.320990,0.448092,0.555372,0.757811,-0.000280,412.133892,0.320000,0.966184,0.433333,10.066238,1.390333,-0.184775,5.379583,0.630657,0.487923,207,8,0.239,0
CSS080227:132103+015329,1101072042947,200.263091,1.891526,194.895825,63.362183,3.025000,0.052117,0.081517,0.155063,0.268745,0.358935,0.534671,-0.000004,5791.666637,0.190000,0.973941,0.600000,91.896639,1.308981,-4.672996,24.110336,0.799099,0.485342,307,4,0.082,0
CSS080228:081210+040352,6103110404411026532,123.042623,4.064337,116.877440,20.303228,1.184821,0.264151,0.172527,0.303075,0.415726,0.557791,0.729289,0.000124,252.942763,0.279688,1.000000,0.466667,1.177634,1.188222,0.760004,0.827099,0.441524,0.496855,159,5,0.251,0
CSS080302:160845+220610,8021912108211036968,242.186649,22.102704,118.193613,44.635483,0.432292,0.400000,0.205446,0.421808,0.591322,0.739711,0.875377,-0.000467,35.088426,0.209828,1.000000,0.526316,0.416888,0.646966,0.391994,-0.941480,0.253182,0.500000,20,0,0.000,0
CSS080303:073921+222454,7041512103911062622,114.838098,22.414949,138.240587,20.753768,0.875498,0.315789,0.138787,0.316973,0.473860,0.614563,0.819307,0.000017,102.774380,0.256357,1.000000,0.611111,0.667922,1.263386,0.615517,-0.795018,0.528221,0.473684,19,1,0.175,0
CSS080304:090240+052501,8030410404911045339,135.665417,5.416902,111.537852,32.018028,1.222195,0.375000,0.750317,0.771158,0.794855,0.821693,0.910182,0.260726,30.844060,1.006000,1.000000,0.428571,1.297016,1.885858,-0.011421,-1.952562,1.051475,0.500000,8,0,0.000,0
CSS080304:164002+073208,5100510708911038517,250.008876,7.535465,131.609957,31.998432,0.580827,0.312500,0.112882,0.332820,0.500484,0.839868,0.954182,0.000433,75.065063,0.182875,1.000000,0.533333,0.542541,0.818861,0.810585,-0.882207,0.394671,0.500000,16,0,0.000,0
CSS080305:080846+313106,1132038012449,122.192372,31.518315,145.401388,29.915263,2.760000,0.124169,0.004213,0.009902,0.017066,0.026901,0.468679,-0.000117,940.594059,0.260000,0.889135,0.566667,47.752849,32.666511,-2.122819,3.362145,1.217741,0.498891,451,18,0.249,0
CSS080305:102938+414046,8030514004411032089,157.407176,41.679576,158.845942,58.236437,0.497296,0.350000,0.270807,0.349851,0.394591,0.645861,0.886348,-0.000068,47.695095,0.258952,1.000000,0.368421,0.516591,0.896921,0.512757,-0.844301,0.316507,0.500000,20,2,0.586,0
CSS080307:055730+001514,8030710103211006769,89.375197,0.253889,129.233233,-11.290410,0.313520,0.500000,0.555264,0.693717,0.798692,0.866839,0.944025,0.001271,87.117143,0.244636,1.000000,0.571429,0.318801,0.547907,0.028273,-1.779446,0.248263,0.500000,8,0,0.000,0
CSS080309:070501+372505,8022813803111018731,106.254410,37.418164,155.970593,19.200318,1.167580,0.125000,0.612844,0.647096,0.690176,0.742969,0.873782,0.075340,23.014198,0.496927,1.000000,0.571429,0.821423,1.203720,0.967559,-0.043467,0.758345,0.500000,8,0,0.000,0
CSS080309:084358+425037,1143035010777,130.991955,42.843574,157.477035,38.752640,2.915000,0.215054,0.006642,0.016892,0.024959,0.148189,0.539275,-0.000260,608.695653,0.460000,0.827957,0.533333,59.533446,36.305468,-1.439820,0.890485,1.465867,0.500000,186,8,0.226,0
CSS080324:122100-102735,1009066017703,185.248935,-10.459916,44.110296,51.536524,2.250000,0.197740,0.026973,0.041555,0.090292,0.139813,0.803609,0.000021,264.755481,0.360000,0.892655,0.500000,12.931568,7.689357,-1.370341,1.636715,0.901792,0.497175,177,6,0.298,0
CSS080329:143500-004606,1001078052456,218.750931,-0.768331,166.521100,52.025844,2.175000,0.144295,0.034495,0.065822,0.102817,0.146271,0.224290,0.000117,1113.402061,0.250000,0.949664,0.533333,13.321879,4.571798,-1.766691,4.824947,0.649579,0.496644,298,11,0.368,0
CSS080331:160205+031632,5061610408611007417,240.519992,3.275482,141.899808,38.044898,1.582091,0.387097,0.082694,0.278667,0.492931,0.705203,0.867603,-0.000310,127.634358,0.452030,0.967742,0.566667,1.976627,2.202927,0.759515,0.790945,0.705203,0.483871,31,3,0.373,0
CSS080401:085113+344449,1135040020060,132.805835,34.746775,146.914892,39.283140,3.935000,0.149573,0.001797,0.004271,0.007405,0.022176,0.206993,0.000170,377.083333,0.370000,0.850427,0.466667,312.328572,101.698550,-1.991562,3.055594,1.673693,0.491453,234,13,0.288,0
CSS080401:153151+152447,1115081032826,232.961746,15.412927,132.065499,50.450208,1.265000,0.151515,0.194057,0.346862,0.568342,0.624710,0.704999,-0.000017,173.252280,0.350000,1.000000,0.500000,1.013724,1.230768,1.174278,1.127447,0.578951,0.484848,33,1,0.000,0
CSS080403:160004+331114,1132074055087,240.015371,33.187291,102.872038,48.705267,3.430000,0.300429,0.016099,0.047475,0.226460,0.636143,0.705819,0.000082,329.710145,0.890000,0.712446,0.500000,76.268059,56.867027,-0.739561,-0.999711,1.976119,0.484979,233,19,0.245,0
CSS080404:213309+155004,6092011511231048209,323.289150,15.834498,86.705028,-25.799746,2.138552,0.111111,0.159746,0.213082,0.233180,0.258943,0.517412,-0.007288,45.740367,0.155516,0.888889,0.500000,0.975382,0.836636,2.443476,4.036674,1.295001,0.444444,9,0,0.000,0
CSS080405:161851-052509,7041500408811007368,244.711412,-5.419027,147.694388,29.674016,0.242742,0.375000,0.668614,0.684087,0.744884,0.855540,0.947750,0.001038,17.944305,0.159114,1.000000,0.285714,0.241693,0.406336,0.138746,-1.775175,0.193317,0.500000,8,0,0.000,0
CSS080406:075648+305805,1129038077106,119.199945,30.968229,145.622505,27.305655,2.355000,0.219512,0.135058,0.237649,0.641742,0.784551,0.924561,0.000615,391.891894,0.330000,0.756098,0.533333,0.976232,1.521575,1.189490,0.205821,1.281980,0.487805,41,0,0.000,0
CSS080409:081419-005022,1001044076042,123.578838,-0.839333,112.040058,18.429743,2.540000,0.089172,0.022169,0.039071,0.051005,0.071477,0.109502,-0.000062,93.457944,0.210000,0.949045,0.500000,38.084090,7.561649,-3.195869,10.262681,0.905362,0.490446,157,4,0.082,0
CSS080409:174714+150048,1115092045345,266.809768,15.013238,116.161946,20.335084,2.090000,0.242424,0.377889,0.537995,0.579675,0.682935,0.898427,0.000591,122.511485,0.630000,0.848485,0.566667,1.355049,2.059988,1.122260,0.315622,1.093703,0.484848,33,0,0.000,0
CSS080415:162012+115257,7052111208621010316,245.050063,11.882431,129.547953,38.318162,0.872234,0.333333,0.283957,0.473733,0.589629,0.620809,0.894495,0.000438,111.483625,0.455687,1.000000,0.411765,1.300230,1.639507,-0.040344,-1.320102,0.532343,0.500000,18,0,0.000,0
CSS080416:080854+355053,1135037049621,122.223771,35.848279,150.259473,31.019744,2.515000,0.380952,0.079405,0.209306,0.295679,0.503421,0.622895,0.000424,237.704918,1.160000,0.773810,0.400000,15.217929,13.440353,-0.276211,-1.121222,1.410550,0.500000,84,8,0.293,0
CSS080424:155326+114437,6051811208411006615,238.357020,11.743647,133.572075,44.132251,0.939495,0.333333,0.123596,0.186097,0.244966,0.578952,0.707633,-0.000968,62.669557,0.195285,1.000000,0.588235,1.211332,1.406695,0.188215,0.164251,0.444232,0.500000,18,1,0.000,0
CSS080424:160232+161732,5070511508311035326,240.633991,16.292318,126.532294,44.031679,1.011140,0.285714,0.143891,0.228757,0.478463,0.594117,0.759972,0.000105,69.605891,0.321226,1.000000,0.350000,1.935043,2.097520,-0.361635,-0.768626,0.535470,0.476190,21,1,0.202,0
CSS080425:141712-180328,1018074046721,214.299971,-18.057817,185.330970,39.769161,2.905000,0.292683,0.011302,0.033529,0.060611,0.212762,0.232270,0.000538,178.988327,0.740000,0.804878,0.433333,50.050500,45.781812,-1.057812,0.139906,1.599265,0.487805,41,2,0.002,0
CSS080425:143143-032520,6052600407811034319,217.929429,-3.422382,170.192797,50.464458,1.386351,0.100000,0.100216,0.227354,0.303898,0.401493,0.561891,0.000142,251.688650,0.181987,0.950000,0.526316,0.879826,1.127379,2.520654,5.887835,0.624656,0.500000,20,0,0.000,0
CSS080426:162657-002549,5070200108811058389,246.736647,-0.430185,141.603702,30.814270,0.319677,0.375000,0.097679,0.169802,0.346229,0.637391,0.871941,-0.000252,63.804682,0.079738,1.000000,0.571429,0.393660,0.549829,-0.301264,-0.772047,0.197495,0.500000,8,1,0.000,0
CSS080427:124418+300401,1129060037736,191.074507,30.067021,192.149774,87.140868,2.410000,0.162963,0.012304,0.023596,0.036640,0.058927,0.089140,-0.000020,859.999997,0.260000,0.925926,0.400000,20.877616,12.797511,-1.985962,4.639212,0.914628,0.481481,270,6,0.443,0
CSS080427:131626-151313,1015069036204,199.107016,-15.220421,203.299931,46.863687,2.635000,0.338462,0.014108,0.035937,0.249926,0.664293,0.896048,-0.000295,208.812261,0.570000,0.692308,0.500000,30.332857,29.138992,-0.741944,-1.045114,1.651031,0.476923,65,6,0.238,0
CSS080427:153634+332852,1132072059863,234.143325,33.481227,102.878376,53.619375,2.680000,0.145594,0.024520,0.053780,0.073655,0.120694,0.204602,-0.000396,1040.540536,0.270000,0.938697,0.500000,31.508730,6.421717,-2.251396,5.712997,0.911460,0.494253,261,7,0.276,0
CSS080428:160524+060816,7031310708631010456,241.350721,6.137797,138.233315,38.840457,0.698227,0.285714,0.188524,0.290244,0.429543,0.510018,0.680870,-0.000593,79.929207,0.235009,1.000000,0.538462,1.367343,1.165692,-0.777339,-0.043816,0.369105,0.500000,14,1,0.319,0
CSS080428:162502+390926,1138071067562,246.257141,39.157334,93.781291,44.040899,2.825000,0.140351,0.001422,0.002607,0.004545,0.011091,0.441601,-0.000052,521.367520,0.150000,0.859649,0.666667,118.124201,66.910083,-2.134725,2.950926,1.448002,0.498246,285,11,0.316,0
CSS080428:163805+083758,1109089006400,249.522215,8.632726,130.718536,32.931433,2.685000,0.079585,0.088613,0.202918,0.331463,0.500976,0.723641,-0.000041,333.333333,0.190000,0.958478,0.366667,35.307805,1.138556,-3.408174,13.519649,0.776423,0.498270,289,3,0.356,0
CSS080501:223058+210147,7071412111411027622,337.742971,21.029690,71.174702,-31.180605,2.194477,0.454545,0.051856,0.647107,0.900519,0.960507,0.975483,0.002483,32.270824,0.782722,0.636364,0.600000,17.106779,17.363203,-0.397545,-1.634179,1.724974,0.454545,11,0,0.000,0
CSS080502:141002-124809,5060401207511017323,212.509209,-12.802468,184.338381,45.252044,2.525835,0.263158,0.101643,0.250147,0.338814,0.483068,0.853608,-0.000096,94.678921,0.460450,0.842105,0.466667,1.696964,2.377599,1.359809,0.922630,1.225854,0.491228,57,0,0.000,0
CSS080505:163121+103134,1109088070575,247.836939,10.526198,129.576960,35.266634,2.870000,0.128713,0.026859,0.055004,0.079611,0.124175,0.197110,-0.000132,1197.674418,0.340000,0.940594,0.400000,47.752849,7.689168,-2.277421,6.627253,0.958121,0.498350,303,7,0.208,0
CSS080505:214804+080951,1107116073927,327.018285,8.164135,90.547992,-33.610658,2.065000,0.466667,0.066315,0.163948,0.369288,0.470110,0.929521,0.000996,102.150538,0.915000,0.866667,0.482759,12.975032,11.053957,-0.500844,-1.109038,1.285181,0.500000,30,2,0.255,0
CSS080506:085409+201339,1121045010809,133.539292,20.227629,128.888026,36.282942,2.250000,0.313253,0.016958,0.035617,0.127017,0.637686,0.828351,0.000170,177.807487,0.470000,0.759036,0.433333,20.877616,18.143293,-0.933165,-0.709285,1.396075,0.493976,83,6,0.178,0
CSS080512:064608+403305,8051214002811023625,101.534186,40.551374,160.432331,16.903620,0.567727,0.500000,0.850024,0.877822,0.904610,0.930288,0.968388,0.001485,28.755680,0.494394,1.000000,0.428571,0.482115,0.926543,0.020824,-1.961886,0.504334,0.500000,8,0,0.000,0
CSS080512:173900+344023,8050613507811023845,264.749078,34.672988,96.488546,28.775335,0.375685,0.444444,0.170241,0.311781,0.460251,0.643421,0.843690,0.055387,81.312903,0.146692,1.000000,0.500000,0.382425,0.532908,0.559648,-0.757890,0.228534,0.444444,9,0,0.000,0
CSS080514:151021+182303,1118078035763,227.586579,18.383877,130.909776,56.349060,1.865000,0.442308,0.267252,0.359040,0.560424,0.670321,0.798229,0.000417,235.507247,1.080000,0.903846,0.533333,2.902126,3.275027,0.042748,-1.513081,1.178857,0.500000,52,0,0.000,0
CSS080514:162606+225044,7051612308131005049,246.523687,22.845587,115.608264,41.026963,1.500503,0.208333,0.278213,0.367372,0.444914,0.711186,0.840848,-0.000375,112.690613,0.390375,0.958333,0.521739,0.888685,1.344503,1.544238,3.078305,0.658482,0.500000,24,1,0.364,0
CSS080606:164147+121026,1112088030612,250.444900,12.173722,126.435179,33.671532,1.670000,0.179487,0.088044,0.292537,0.585883,0.699552,0.855412,0.000137,117.647059,0.430000,0.923077,0.466667,0.918342,1.583895,1.326049,1.091301,0.861618,0.487179,78,0,0.000,0
CSS080611:230352+010651,1101124022892,345.965098,1.114282,78.850281,-51.898415,2.310000,0.088235,0.106758,0.167031,0.255231,0.366146,0.528935,0.000035,188.436831,0.220000,0.964052,0.466667,30.332857,1.526316,-3.490553,14.660730,0.671464,0.496732,306,8,0.279,0
CSS080623:140454-102702,1009075019432,211.224913,-10.450822,184.503760,47.916533,2.930000,0.184211,0.020830,0.035285,0.057211,0.075036,0.320685,0.000110,326.530613,0.360000,0.914474,0.500000,48.659232,11.914019,-1.864204,3.986093,1.086198,0.493421,152,5,0.370,0
CSS080624:011532+373736,1138006026644,18.883927,37.626471,207.220915,-24.676381,2.590000,0.281250,0.031087,0.052306,0.231016,0.520766,0.615704,-0.000037,140.000000,0.325000,0.808594,0.466667,16.538805,9.423322,-0.955312,-0.271739,1.036255,0.496094,256,20,0.297,0
CSS080702:130030+115101,1112069011676,195.126183,11.850373,202.597602,74.218201,1.060000,0.292308,0.185314,0.300013,0.421305,0.617216,0.812734,-0.000151,363.636364,0.250000,1.000000,0.500000,1.108628,1.054628,0.820197,0.569944,0.402518,0.497436,195,6,0.293,0
CSS080909:023504+324038,1132012044478,38.766591,32.677209,188.535139,-24.848543,1.920000,0.202703,0.036422,0.061938,0.113546,0.174980,0.291308,0.000093,179.122183,0.330000,0.945946,0.500000,12.061709,5.894757,-1.616586,3.278068,0.794003,0.486486,74,5,0.193,0
CSS080921:204110-043803,8092100411111029407,310.292173,-4.634043,113.709203,-26.948900,1.417498,0.400000,0.263542,0.560031,0.673243,0.797044,0.924571,0.207210,135.016814,0.667656,0.900000,0.333333,5.081607,5.239680,-0.286008,-1.646483,1.048330,0.500000,10,0,0.000,0
CSS080922:011307+215250,1121007049166,18.277904,21.880759,205.650717,-40.375825,3.275000,0.298701,0.003407,0.010007,0.028379,0.459876,0.634458,0.000139,192.254495,0.650000,0.753247,0.566667,118.124201,88.979707,-1.067972,-0.363662,2.025184,0.493506,77,8,0.331,0
CSS080923:230115+224111,5100812311421001771,345.314104,22.686501,63.101510,-33.557041,1.963959,0.142857,0.240543,0.320230,0.471767,0.669102,0.891568,0.000094,117.544462,0.382396,0.928571,0.518519,0.957750,1.370105,1.810330,3.343405,0.886318,0.500000,28,0,0.000,0
CSS080924:011158+351724,1135006036940,17.989875,35.290116,207.739578,-27.075904,2.680000,0.067227,0.002763,0.005457,0.006926,0.009865,0.014486,0.000324,189.247312,0.250000,0.932773,0.333333,74.162289,63.702301,-3.083007,8.374091,1.200354,0.487395,119,2,0.001,0
CSS080924:233423+391423,8092413810211058654,353.596353,39.239745,48.400814,-21.124197,0.962422,0.250000,0.074523,0.242515,0.384465,0.497771,0.755716,-0.000665,17.871677,0.493442,1.000000,0.428571,1.599969,1.734627,-0.295373,-0.726882,0.575749,0.500000,8,1,0.046,0
CSS080927:025621-121855,5101101201641017932,44.088684,-12.315361,143.490069,-56.619199,0.530995,0.300000,0.176306,0.341860,0.505329,0.636095,0.779993,-0.000287,34.273793,0.201026,1.000000,0.444444,0.515120,0.659542,1.084963,0.679666,0.301423,0.500000,10,0,0.000,0
CSS080927:212522-102627,1009114024190,321.340626,-10.441068,113.737698,-39.341407,2.885000,0.312500,0.005679,0.081082,0.219604,0.548820,0.907355,-0.000245,159.841479,1.055000,0.687500,0.533333,52.930474,47.854448,-0.636053,-1.136317,1.913278,0.500000,64,5,0.315,0
CSS080929:043020+095318,1109024033960,67.583104,9.888280,149.858972,-24.737501,2.455000,0.175926,0.009265,0.017432,0.025973,0.039422,0.333520,-0.000020,351.769912,0.285000,0.888889,0.500000,24.585859,20.621703,-1.923367,2.952650,1.080337,0.496914,324,10,0.293,0
CSS080930:232619+282650,1129111006185,351.580805,28.447122,54.167299,-30.740999,2.325000,0.400000,0.246103,0.337130,0.518455,0.634785,0.883108,0.000387,270.270269,0.880000,0.808696,0.466667,3.325138,3.426218,0.511907,-0.958209,1.293416,0.495652,115,2,0.360,0
CSS081002:071648+354316,6022213503311036436,109.198466,35.720983,153.416828,20.847507,0.896235,0.363636,0.068115,0.379986,0.691199,0.911142,0.949200,0.000463,24.785857,0.488631,1.000000,0.500000,0.730847,1.331125,0.654703,-1.139944,0.666217,0.454545,11,0,0.000,0
CSS081009:155431+365043,6050713806911002439,238.627149,36.845069,97.340054,50.007555,0.579988,0.538462,0.126081,0.330345,0.806908,0.863543,0.936529,0.000359,91.411794,0.311573,1.000000,0.560000,0.879335,1.125747,-0.345064,-1.399353,0.389159,0.500000,26,2,0.315,0
CSS081010:035324-164250,7091801502131001423,58.349305,-16.713954,127.168378,-46.216701,0.428973,0.181818,0.139062,0.157371,0.183305,0.233918,0.326267,0.000272,17.611740,0.082708,1.000000,0.700000,0.695362,0.553304,-1.773626,3.127643,0.207420,0.454545,11,0,0.000,0
CSS081010:172929+201808,7061512108911018279,262.371186,20.302176,112.637135,26.283193,0.125611,0.416667,0.243055,0.441357,0.696692,0.795001,0.837204,0.000240,11.516155,0.051220,1.000000,0.636364,0.125644,0.194949,-0.034014,-1.177787,0.078651,0.500000,12,1,0.000,0
CSS081024:040141+080008,1107022049268,60.420398,8.002208,153.087657,-31.484545,2.640000,0.191781,0.041584,0.075214,0.118465,0.199404,0.557232,-0.000097,418.032787,0.300000,0.955479,0.433333,19.323570,4.723305,-1.608932,3.672309,0.833865,0.496575,292,10,0.284,0
CSS081025:032912+125018,1112019026814,52.301060,12.838209,163.757572,-34.080144,2.650000,0.333333,0.259817,0.343866,0.418560,0.505987,0.987843,0.001008,52.227343,1.170000,0.703704,0.538462,5.251727,5.624241,0.645846,-0.401665,1.402913,0.481481,27,1,0.000,0
CSS081025:033248+323057,5120313201741019341,53.200240,32.515863,177.342627,-18.545782,1.017692,0.142857,0.176075,0.299972,0.358603,0.417233,0.753035,-0.000488,47.142118,0.130926,0.857143,0.500000,0.826932,0.765933,1.870684,1.782156,0.674123,0.428571,7,0,0.000,0
CSS081025:034206+323707,8102513201711027579,55.526534,32.618755,175.803052,-17.239032,0.247175,0.375000,0.340426,0.532123,0.685044,0.795310,0.915228,0.000616,32.343133,0.163248,1.000000,0.571429,0.254224,0.396456,0.314059,-1.284981,0.172801,0.500000,8,0,0.000,0
CSS081025:080514+405025,8102514003411023240,121.307759,40.840177,156.142605,31.349814,0.733379,0.285714,0.438071,0.738238,0.811310,0.884382,0.953929,0.001454,32.471120,0.130802,1.000000,0.333333,0.707842,0.799059,0.406342,-1.657252,0.589856,0.428571,7,0,0.000,0
CSS081025:105835+054706,1107059003205,164.646106,5.784928,88.549105,56.010171,3.115000,0.142857,0.001946,0.004539,0.009716,0.014910,0.527132,0.000192,182.825485,0.530000,0.857143,0.433333,119.180563,105.202222,-1.758782,1.642622,1.769314,0.500000,56,2,0.095,0
CSS081026:015321+340857,1135009007814,28.339444,34.148972,198.138346,-26.591634,2.675000,0.548387,0.114779,0.225721,0.481191,0.589430,0.903256,0.000006,219.469027,1.415000,0.645161,0.600000,20.776867,21.339212,-0.212739,-1.521937,1.839964,0.500000,62,6,0.343,0
CSS081026:023839+355648,8102613501211048045,39.662938,35.946872,189.369758,-21.585049,0.917002,0.555556,0.648012,0.877246,0.978093,0.988199,0.996624,0.081983,3.140061,0.580244,1.000000,0.625000,0.706466,1.386650,0.223063,-1.744029,0.804876,0.444444,9,0,0.000,0
CSS081027:052035-085814,8102700902911047281,80.145707,-8.970697,125.041053,-23.687657,0.982022,0.500000,0.595800,0.654208,0.736490,0.845033,0.941605,0.072734,31.641224,0.648424,1.000000,0.714286,0.874851,1.481206,0.164612,-1.653424,0.732974,0.500000,8,0,0.000,0
CSS081028:213025-025918,1004115077625,322.602400,-2.988076,104.727353,-36.730791,2.380000,0.084806,0.003146,0.006132,0.008631,0.013247,0.024379,0.000143,278.350515,0.130000,0.915194,0.466667,47.752849,29.558860,-3.037193,7.807352,1.026611,0.487633,283,6,0.291,0
CSS081029:224824-092059,7101500912141025122,342.098392,-9.349616,96.379016,-56.331364,0.777463,0.200000,0.025290,0.044258,0.063225,0.414516,0.765806,0.003845,20.138175,0.101891,1.000000,0.750000,2.784991,2.334435,-1.448037,0.178773,0.588500,0.400000,5,0,0.000,0
